Player 1,Player 2,Partnership Career Span,Partnership Career Start,Partnership Career End,Number Of Partnerships,Unbroken Partnerships,Total Partnership Runs,Highest Partnership,Avg Partnership Per Dismissal,Century Partnerships,Fifty Runs And Over Partnerships,Country
EJG Morgan, SR Patel,2012-2012,2012,2012,3,0,82,55,27.33,0,1,England
KP Pietersen, ME Trescothick,2005-2006,2005,2006,3,0,82,51,27.33,0,1,England
SR Patel, KP Pietersen,2011-2012,2011,2012,2,0,80,60,40,0,1,England
MM Ali, DJ Willey,2016-2016,2016,2016,3,1,79,57*,39.5,0,1,England
P Mustard, LJ Wright,2008-2008,2008,2008,2,0,77,65,38.5,0,1,England
IR Bell, SM Davies,2011-2011,2011,2011,2,0,76,60,38,0,1,England
TT Bresnan, SCJ Broad,2014-2014,2014,2014,3,1,74,34,37,0,0,England
JC Buttler, DJ Willey,2015-2018,2015,2018,5,1,73,24,18.25,0,0,England
MM Ali, MJ Lumb,2014-2014,2014,2014,1,0,72,72,72,0,1,England
JC Buttler, SR Patel,2012-2013,2012,2013,4,0,71,38,17.75,0,0,England
AN Cook, IJL Trott,2009-2009,2009,2009,2,0,70,45,35,0,0,England
JJ Roy, BA Stokes,2016-2018,2016,2018,2,0,70,47,35,0,0,England
PD Collingwood, AD Mascarenhas,2007-2009,2007,2009,4,0,67,40,16.75,0,0,England
GO Jones, ME Trescothick,2005-2006,2005,2006,2,0,66,38,33,0,0,England
AN Cook, MJ Prior,2007-2007,2007,2007,2,0,65,40,32.5,0,0,England
A Flintoff, OA Shah,2007-2007,2007,2007,4,0,65,30,16.25,0,0,England
JC Buttler, JC Tredwell,2012-2013,2012,2013,3,2,64,35,64,0,0,England
KP Pietersen, LJ Wright,2009-2010,2009,2010,3,1,64,53,32,0,1,England
SCJ Broad, GP Swann,2008-2012,2008,2012,8,3,62,33*,12.4,0,0,England
PD Collingwood, AJ Strauss,2005-2009,2005,2009,2,0,62,49,31,0,0,England
MJ Lumb, LJ Wright,2013-2014,2013,2014,3,0,60,60,20,0,1,England
JM Vince, CR Woakes,2015-2015,2015,2015,1,0,60,60,60,0,1,England
AJ Strauss, ME Trescothick,2006-2006,2006,2006,2,0,59,59,29.5,0,1,England
RS Bopara, SM Davies,2009-2010,2009,2010,2,0,58,33,29,0,0,England
JM Bairstow, BA Stokes,2011-2018,2011,2018,2,0,57,37,28.5,0,0,England
JC Buttler, C Kieswetter,2012-2012,2012,2012,2,0,57,48,28.5,0,0,England
KP Pietersen, MJ Prior,2007-2007,2007,2007,2,0,55,31,27.5,0,0,England
MJ Prior, OA Shah,2007-2007,2007,2007,1,0,55,55,55,0,1,England
RS Bopara, PD Collingwood,2009-2010,2009,2010,2,0,54,31,27,0,0,England
C Kieswetter, EJG Morgan,2012-2012,2012,2012,3,0,53,21,17.66,0,0,England
OA Shah, LJ Wright,2007-2009,2007,2009,2,0,53,42,26.5,0,0,England
JWM Dalrymple, ME Trescothick,2006-2006,2006,2006,2,0,52,47,26,0,0,England
MM Ali, BA Stokes,2015-2018,2015,2018,4,1,51,38,17,0,0,England
SR Patel, GP Swann,2012-2012,2012,2012,1,0,51,51,51,0,1,England
JWM Dalrymple, PA Nixon,2007-2007,2007,2007,1,0,49,49,49,0,0,England
DL Maddy, MJ Prior,2007-2007,2007,2007,2,0,49,29,24.5,0,0,England
EJG Morgan, BA Stokes,2016-2016,2016,2016,4,0,49,23,12.25,0,0,England
JM Bairstow, RS Bopara,2011-2012,2011,2012,2,1,48,33,48,0,0,England
IR Bell, LJ Wright,2008-2008,2008,2008,1,0,48,48,48,0,0,England
CJ Jordan, DJ Willey,2015-2018,2015,2018,7,1,47,25,7.83,0,0,England
MJ Lumb, EJG Morgan,2013-2014,2013,2014,4,0,47,23,11.75,0,0,England
SW Billings, JE Root,2015-2017,2015,2017,2,0,44,43,22,0,0,England
JM Bairstow, SR Patel,2012-2012,2012,2012,3,0,43,39,14.33,0,0,England
KP Pietersen, VS Solanki,2007-2007,2007,2007,1,0,43,43,43,0,0,England
RS Bopara, BA Stokes,2011-2014,2011,2014,4,1,41,18,13.66,0,0,England
TT Bresnan, CR Woakes,2011-2011,2011,2011,2,1,41,30*,41,0,0,England
MM Ali, CJ Jordan,2016-2017,2016,2017,3,1,39,28,19.5,0,0,England
IR Bell, ME Trescothick,2006-2006,2006,2006,1,0,39,39,39,0,0,England
RS Bopara, SR Patel,2011-2012,2011,2012,3,1,39,35*,19.5,0,0,England
C Kieswetter, LJ Wright,2012-2012,2012,2012,2,0,39,23,19.5,0,0,England
JC Buttler, DJ Malan,2017-2018,2017,2018,3,0,38,15,12.66,0,0,England
CJ Jordan, LE Plunkett,2016-2018,2016,2018,5,1,38,19,9.5,0,0,England
MM Ali, AD Hales,2014-2014,2014,2014,5,0,37,27,7.4,0,0,England
PD Collingwood, ME Trescothick,2005-2006,2005,2006,3,0,37,20,12.33,0,0,England
IR Bell, AD Hales,2014-2014,2014,2014,1,0,36,36,36,0,0,England
RS Bopara, MJ Lumb,2010-2010,2010,2010,1,0,36,36,36,0,0,England
PD Collingwood, IJL Trott,2009-2009,2009,2009,1,0,36,36,36,0,0,England
PD Collingwood, LJ Wright,2009-2010,2009,2010,2,0,36,19,18,0,0,England
JS Foster, AD Mascarenhas,2009-2009,2009,2009,2,1,36,29*,36,0,0,England
JM Bairstow, LJ Wright,2012-2012,2012,2012,1,0,35,35,35,0,0,England
SM Davies, C Kieswetter,2010-2010,2010,2010,2,0,35,26,17.5,0,0,England
RS Bopara, OA Shah,2009-2009,2009,2009,1,0,34,34,34,0,0,England
DJ Malan, JM Vince,2018-2018,2018,2018,2,0,34,18,17,0,0,England
MM Ali, JE Root,2016-2016,2016,2016,2,0,33,33,16.5,0,0,England
JM Bairstow, C Kieswetter,2012-2012,2012,2012,2,0,33,30,16.5,0,0,England
SW Billings, DJ Malan,2018-2018,2018,2018,2,0,33,20,16.5,0,0,England
JC Buttler, LJ Wright,2012-2012,2012,2012,2,0,33,18,16.5,0,0,England
DJ Malan, DJ Willey,2018-2018,2018,2018,2,0,33,29,16.5,0,0,England
MM Ali, JC Buttler,2014-2018,2014,2018,5,0,32,15,6.4,0,0,England
SM Davies, KP Pietersen,2009-2011,2009,2011,2,0,32,30,16,0,0,England
JC Buttler, CJ Jordan,2016-2018,2016,2018,2,0,31,27,15.5,0,0,England
JJ Roy, JM Vince,2015-2016,2015,2016,3,0,31,16,10.33,0,0,England
RS Bopara, CR Woakes,2014-2014,2014,2014,2,1,30,16*,30,0,0,England
SCJ Broad, JC Buttler,2012-2013,2012,2013,3,0,30,18,10,0,0,England
DL Maddy, KP Pietersen,2007-2007,2007,2007,2,0,29,18,14.5,0,0,England
JM Bairstow, GP Swann,2012-2012,2012,2012,2,2,28,15*,-,0,0,England
JL Denly, BA Stokes,2018-2018,2018,2018,1,0,28,28,28,0,0,England
EJG Morgan, JJ Roy,2018-2018,2018,2018,2,0,28,15,14,0,0,England
KP Pietersen, MP Vaughan,2007-2007,2007,2007,1,0,27,27,27,0,0,England
A Flintoff, LJ Wright,2007-2007,2007,2007,1,0,26,26,26,0,0,England
PD Collingwood, SM Davies,2010-2011,2010,2011,2,0,25,13,12.5,0,0,England
RS Bopara, DR Briggs,2014-2014,2014,2014,1,1,24,24*,-,0,0,England
A Flintoff, KP Pietersen,2007-2007,2007,2007,1,0,24,24,24,0,0,England
P Mustard, KP Pietersen,2008-2008,2008,2008,2,0,24,19,12,0,0,England
SG Borthwick, JC Buttler,2011-2011,2011,2011,1,0,23,23,23,0,0,England
JW Dernbach, ST Finn,2012-2013,2012,2013,3,1,23,20,11.5,0,0,England
AD Hales, DJ Willey,2018-2018,2018,2018,1,1,23,23*,-,0,0,England
IR Bell, MP Vaughan,2007-2007,2007,2007,1,0,22,22,22,0,0,England
ST Finn, JC Tredwell,2013-2013,2013,2013,1,0,22,22,22,0,0,England
AD Mascarenhas, KP Pietersen,2009-2009,2009,2009,2,0,22,18,11,0,0,England
AU Rashid, BA Stokes,2015-2018,2015,2018,2,1,22,22*,22,0,0,England
A Flintoff, ME Trescothick,2005-2005,2005,2005,1,0,21,21,21,0,0,England
MJ Prior, IJL Trott,2007-2007,2007,2007,2,0,21,13,10.5,0,0,England
TT Bresnan, JC Buttler,2011-2014,2011,2014,5,1,20,9,5,0,0,England
SCJ Broad, KP Pietersen,2012-2012,2012,2012,1,1,20,20*,-,0,0,England
JC Buttler, LS Livingstone,2017-2017,2017,2017,2,0,20,20,10,0,0,England
JC Buttler, BA Stokes,2011-2017,2011,2017,4,1,20,9*,6.66,0,0,England
AN Cook, JL Denly,2009-2009,2009,2009,2,0,20,20,10,0,0,England
RS Bopara, C Kieswetter,2010-2012,2010,2012,4,0,19,13,4.75,0,0,England
SCJ Broad, AU Rashid,2009-2009,2009,2009,1,0,19,19,19,0,0,England
SCJ Broad, CP Schofield,2007-2007,2007,2007,2,1,19,11*,19,0,0,England
JL Denly, IJL Trott,2010-2010,2010,2010,2,0,19,12,9.5,0,0,England
AD Hales, KP Pietersen,2011-2011,2011,2011,1,0,19,19,19,0,0,England
AD Mascarenhas, CP Schofield,2007-2007,2007,2007,3,1,19,15*,9.5,0,0,England
TT Bresnan, MH Yardy,2010-2011,2010,2011,3,0,18,14,6,0,0,England
PD Collingwood, C Kieswetter,2010-2010,2010,2010,2,0,18,15,9,0,0,England
JS Foster, GP Swann,2009-2009,2009,2009,1,0,18,18,18,0,0,England
CJ Jordan, AU Rashid,2016-2018,2016,2018,3,1,18,13*,9,0,0,England
CJ Jordan, MA Wood,2018-2018,2018,2018,1,1,18,18*,-,0,0,England
AU Rashid, CR Woakes,2015-2015,2015,2015,1,1,18,18*,-,0,0,England
TT Bresnan, LJ Wright,2010-2014,2010,2014,2,1,17,9,17,0,0,England
JC Buttler, KP Pietersen,2012-2012,2012,2012,1,0,17,17,17,0,0,England
PD Collingwood, VS Solanki,2005-2005,2005,2005,1,0,17,17,17,0,0,England
JWM Dalrymple, MH Yardy,2006-2006,2006,2006,1,0,17,17,17,0,0,England
GJ Batty, AJ Strauss,2009-2009,2009,2009,1,0,16,16,16,0,0,England
SM Davies, EJG Morgan,2010-2011,2010,2011,2,0,16,14,8,0,0,England
CMW Read, MH Yardy,2006-2006,2006,2006,1,0,16,16,16,0,0,England
JM Bairstow, MJ Lumb,2013-2013,2013,2013,1,0,15,15,15,0,0,England
RS Bopara, SCJ Broad,2014-2014,2014,2014,1,0,15,15,15,0,0,England
A Flintoff, JN Snape,2007-2007,2007,2007,1,0,15,15,15,0,0,England
AD Mascarenhas, GP Swann,2008-2009,2008,2009,2,0,15,15,7.5,0,0,England
MM Ali, SW Billings,2015-2016,2015,2016,2,0,14,12,7,0,0,England
JM Bairstow, JE Root,2015-2018,2015,2018,2,0,14,11,7,0,0,England
IR Bell, PD Collingwood,2007-2007,2007,2007,1,0,14,14,14,0,0,England
RS Bopara, JW Dernbach,2014-2014,2014,2014,1,0,14,14,14,0,0,England
AD Hales, BA Stokes,2014-2018,2014,2018,2,0,14,8,7,0,0,England
SI Mahmood, MH Yardy,2006-2006,2006,2006,1,1,14,14*,-,0,0,England
JC Buttler, LE Plunkett,2017-2017,2017,2017,1,0,13,13,13,0,0,England
GP Swann, CR Woakes,2011-2011,2011,2011,1,0,13,13,13,0,0,England
JC Buttler, AU Rashid,2016-2016,2016,2016,1,0,12,12,12,0,0,England
MJ Lumb, KP Pietersen,2010-2010,2010,2010,1,0,12,12,12,0,0,England
LE Plunkett, AU Rashid,2017-2018,2017,2018,2,0,12,12,6,0,0,England
AU Rashid, MA Wood,2018-2018,2018,2018,1,1,12,12*,-,0,0,England
RJ Sidebottom, GP Swann,2008-2008,2008,2008,1,1,12,12*,-,0,0,England
BA Stokes, DJ Willey,2015-2015,2015,2015,1,0,12,12,12,0,0,England
SW Billings, JM Vince,2015-2015,2015,2015,1,0,11,11,11,0,0,England
PD Collingwood, JS Foster,2009-2009,2009,2009,1,0,11,11,11,0,0,England
TK Curran, CJ Jordan,2017-2018,2017,2018,2,1,11,10,11,0,0,England
LA Dawson, EJG Morgan,2018-2018,2018,2018,1,0,11,11,11,0,0,England
A Flintoff, AD Mascarenhas,2007-2007,2007,2007,2,1,11,7,11,0,0,England
EJG Morgan, DJ Willey,2018-2018,2018,2018,1,0,11,11,11,0,0,England
LE Plunkett, DJ Willey,2015-2018,2015,2018,3,1,11,10*,5.5,0,0,England
JM Bairstow, KP Pietersen,2012-2012,2012,2012,1,0,10,10,10,0,0,England
IR Bell, PA Nixon,2007-2007,2007,2007,1,0,10,10,10,0,0,England
TT Bresnan, JW Dernbach,2014-2014,2014,2014,1,1,10,10*,-,0,0,England
TT Bresnan, JC Tredwell,2014-2014,2014,2014,1,0,10,10,10,0,0,England
SCJ Broad, JC Tredwell,2014-2014,2014,2014,2,0,10,10,5,0,0,England
MM Ali, RS Bopara,2014-2014,2014,2014,1,0,9,9,9,0,0,England
TT Bresnan, GO Jones,2006-2006,2006,2006,1,1,9,9*,-,0,0,England
MA Carberry, AD Hales,2014-2014,2014,2014,1,0,9,9,9,0,0,England
PD Collingwood, RWT Key,2009-2009,2009,2009,1,0,9,9,9,0,0,England
JS Foster, RWT Key,2009-2009,2009,2009,1,1,9,9*,-,0,0,England
LS Livingstone, EJG Morgan,2017-2017,2017,2017,1,0,9,9,9,0,0,England
PA Nixon, MS Panesar,2007-2007,2007,2007,1,0,9,9,9,0,0,England
GP Swann, MH Yardy,2010-2010,2010,2010,2,1,9,6*,9,0,0,England
SCJ Broad, CJ Jordan,2014-2014,2014,2014,2,0,8,6,4,0,0,England
SCJ Broad, AD Mascarenhas,2007-2009,2007,2009,2,1,8,8*,8,0,0,England
LS Livingstone, JJ Roy,2017-2017,2017,2017,1,0,8,8,8,0,0,England
DL Maddy, LJ Wright,2007-2007,2007,2007,1,0,8,8,8,0,0,England
SR Patel, BA Stokes,2011-2011,2011,2011,1,0,8,8,8,0,0,England
JM Bairstow, DJ Willey,2017-2018,2017,2018,2,0,7,4,3.5,0,0,England
TT Bresnan, GP Swann,2010-2010,2010,2010,1,1,7,7*,-,0,0,England
SCJ Broad, SR Patel,2012-2012,2012,2012,2,0,7,5,3.5,0,0,England
PD Collingwood, MJ Prior,2007-2010,2007,2010,2,1,7,4*,7,0,0,England
TK Curran, LE Plunkett,2017-2017,2017,2017,1,0,7,7,7,0,0,England
JW Dernbach, CJ Jordan,2014-2014,2014,2014,1,0,7,7,7,0,0,England
CJ Jordan, EJG Morgan,2018-2018,2018,2018,1,1,7,7*,-,0,0,England
SI Mahmood, MJ Prior,2009-2009,2009,2009,1,1,7,7*,-,0,0,England
MM Ali, JM Bairstow,2018-2018,2018,2018,1,1,6,6*,-,0,0,England
JM Anderson, PA Nixon,2007-2007,2007,2007,1,1,6,6*,-,0,0,England
JM Bairstow, AU Rashid,2017-2017,2017,2017,1,0,6,6,6,0,0,England
SW Billings, CJ Jordan,2016-2016,2016,2016,1,0,6,6,6,0,0,England
TT Bresnan, CJ Jordan,2014-2014,2014,2014,1,0,6,6,6,0,0,England
SCJ Broad, JE Root,2013-2013,2013,2013,1,1,6,6*,-,0,0,England
DJ Malan, JJ Roy,2018-2018,2018,2018,2,0,6,4,3,0,0,England
EJG Morgan, GP Swann,2010-2010,2010,2010,1,0,6,6,6,0,0,England
OA Shah, GP Swann,2009-2009,2009,2009,1,0,6,6,6,0,0,England
JM Vince, DJ Willey,2015-2015,2015,2015,1,0,6,6,6,0,0,England
CR Woakes, LJ Wright,2011-2011,2011,2011,1,0,6,6,6,0,0,England
JM Bairstow, SCJ Broad,2012-2012,2012,2012,1,0,5,5,5,0,0,England
SCJ Broad, CR Woakes,2011-2011,2011,2011,1,0,5,5,5,0,0,England
PD Collingwood, P Mustard,2008-2008,2008,2008,1,0,5,5,5,0,0,England
LA Dawson, LS Livingstone,2017-2017,2017,2017,1,0,5,5,5,0,0,England
AU Rashid, RJW Topley,2016-2016,2016,2016,1,0,5,5,5,0,0,England
SCJ Broad, A Khan,2009-2009,2009,2009,1,0,4,4,4,0,0,England
PD Collingwood, J Lewis,2005-2005,2005,2005,1,0,4,4,4,0,0,England
LA Dawson, LE Plunkett,2017-2017,2017,2017,1,1,4,4*,-,0,0,England
LE Plunkett, BA Stokes,2017-2017,2017,2017,1,0,4,4,4,0,0,England
MJ Prior, AU Rashid,2009-2009,2009,2009,1,0,4,4,4,0,0,England
AU Rashid, DJ Willey,2018-2018,2018,2018,1,0,4,4,4,0,0,England
A Shahzad, CR Woakes,2011-2011,2011,2011,1,1,4,4*,-,0,0,England
MM Ali, LE Plunkett,2016-2016,2016,2016,1,1,3,3*,-,0,0,England
GJ Batty, SCJ Broad,2009-2009,2009,2009,1,0,3,3,3,0,0,England
RS Bopara, IJL Trott,2009-2009,2009,2009,1,0,3,3,3,0,0,England
SCJ Broad, RJ Kirtley,2007-2007,2007,2007,1,0,3,3,3,0,0,England
PD Collingwood, A Flintoff,2007-2007,2007,2007,2,0,3,3,1.5,0,0,England
PD Collingwood, GP Swann,2008-2008,2008,2008,1,0,3,3,3,0,0,England
JW Dernbach, GP Swann,2011-2011,2011,2011,1,0,3,3,3,0,0,England
ST Finn, GP Swann,2012-2012,2012,2012,1,0,3,3,3,0,0,England
EC Joyce, MP Vaughan,2007-2007,2007,2007,1,0,3,3,3,0,0,England
AD Mascarenhas, AJ Strauss,2009-2009,2009,2009,1,0,3,3,3,0,0,England
DJ Willey, CR Woakes,2015-2015,2015,2015,1,0,3,3,3,0,0,England
JM Anderson, CP Schofield,2007-2007,2007,2007,1,1,2,2*,-,0,0,England
JM Bairstow, LE Plunkett,2017-2017,2017,2017,1,0,2,2,2,0,0,England
SG Borthwick, GP Swann,2011-2011,2011,2011,1,0,2,2,2,0,0,England
A Flintoff, MP Vaughan,2007-2007,2007,2007,1,0,2,2,2,0,0,England
AD Hales, JM Vince,2015-2015,2015,2015,1,0,2,2,2,0,0,England
C Kieswetter, BA Stokes,2011-2011,2011,2011,1,0,2,2,2,0,0,England
J Lewis, PA Nixon,2007-2007,2007,2007,1,0,2,2,2,0,0,England
EJG Morgan, MJ Prior,2009-2009,2009,2009,1,0,2,2,2,0,0,England
SD Parry, JC Tredwell,2014-2014,2014,2014,1,0,2,2,2,0,0,England
SR Patel, LJ Wright,2012-2012,2012,2012,1,1,2,2*,-,0,0,England
MJ Prior, LJ Wright,2007-2009,2007,2009,3,0,2,2,0.66,0,0,England
CP Schofield, LJ Wright,2007-2007,2007,2007,1,0,2,2,2,0,0,England
ME Trescothick, MP Vaughan,2005-2005,2005,2005,1,0,2,2,2,0,0,England
MM Ali, AU Rashid,2016-2016,2016,2016,1,1,1,1*,-,0,0,England
MM Ali, JJ Roy,2015-2015,2015,2015,1,0,1,1,1,0,0,England
MM Ali, JM Vince,2015-2015,2015,2015,2,0,1,1,0.5,0,0,England
IR Bell, P Mustard,2008-2008,2008,2008,1,0,1,1,1,0,0,England
SW Billings, BA Stokes,2016-2016,2016,2016,1,0,1,1,1,0,0,England
RS Bopara, JL Denly,2009-2009,2009,2009,1,0,1,1,1,0,0,England
SCJ Broad, MH Yardy,2007-2007,2007,2007,1,1,1,1*,-,0,0,England
JS Foster, OA Shah,2009-2009,2009,2009,1,0,1,1,1,0,0,England
CJ Jordan, JE Root,2016-2016,2016,2016,1,0,1,1,1,0,0,England
JM Anderson, SCJ Broad,2009-2009,2009,2009,1,0,0,0,0,0,0,England
JM Anderson, AU Rashid,2009-2009,2009,2009,1,0,0,0,0,0,0,England
SW Billings, AU Rashid,2016-2016,2016,2016,1,0,0,0,0,0,0,England
TT Bresnan, PD Collingwood,2010-2010,2010,2010,1,0,0,0,0,0,0,England
TT Bresnan, MJ Prior,2009-2009,2009,2009,1,0,0,0,0,0,0,England
SCJ Broad, ST Finn,2012-2012,2012,2012,1,0,0,0,0,0,0,England
PD Collingwood, MJ Lumb,2010-2010,2010,2010,1,0,0,0,0,0,0,England
AD Hales, SR Patel,2012-2012,2012,2012,1,0,0,0,0,0,0,England
AD Mascarenhas, LJ Wright,2007-2007,2007,2007,1,0,0,0,0,0,0,England
TS Mills, AU Rashid,2017-2017,2017,2017,1,0,0,0,0,0,0,England
DA Warner, SR Watson,2009-2016,2009,2016,37,0,1154,133,31.18,3,6,Australia
AJ Finch, DJM Short,2018-2018,2018,2018,13,1,549,223,45.75,1,2,Australia
AC Gilchrist, ML Hayden,2005-2007,2005,2007,9,1,398,104,49.75,2,1,Australia
GJ Maxwell, DA Warner,2012-2016,2012,2016,10,1,382,161,42.44,1,2,Australia
AJ Finch, DA Warner,2012-2017,2012,2017,17,0,380,98,22.35,0,1,Australia
MEK Hussey, SR Watson,2010-2012,2010,2012,7,1,369,108,61.5,1,2,Australia
MEK Hussey, CL White,2009-2012,2009,2012,13,3,346,101*,34.6,1,1,Australia
DJ Hussey, CL White,2009-2011,2009,2011,16,1,329,50,21.93,0,1,Australia
AJ Finch, CL White,2014-2014,2014,2014,7,1,318,106,53,1,0,Australia
AJ Finch, GJ Maxwell,2013-2018,2013,2018,9,1,298,118,37.25,1,0,Australia
GJ Maxwell, DJM Short,2018-2018,2018,2018,8,0,280,78,35,0,3,Australia
DJ Hussey, DA Warner,2009-2012,2009,2012,10,0,258,54,25.8,0,2,Australia
TM Head, GJ Maxwell,2016-2018,2016,2018,3,0,241,109,80.33,2,0,Australia
AJ Finch, SR Watson,2013-2016,2013,2016,7,0,228,101,32.57,1,0,Australia
AJ Finch, SE Marsh,2012-2016,2012,2016,5,0,224,114,44.8,1,1,Australia
MJ Clarke, CL White,2009-2010,2009,2010,5,1,221,82,55.25,0,2,Australia
DJM Short, DA Warner,2018-2018,2018,2018,5,0,209,121,41.8,1,1,Australia
MJ Clarke, DJ Hussey,2009-2010,2009,2010,11,0,208,67,18.9,0,1,Australia
GJ Maxwell, SPD Smith,2015-2016,2015,2016,4,0,206,112,51.5,1,1,Australia
UT Khawaja, SR Watson,2016-2016,2016,2016,4,0,198,76,49.5,0,2,Australia
MJ Clarke, BJ Haddin,2007-2010,2007,2010,7,1,192,73,32,0,1,Australia
MJ Clarke, DA Warner,2009-2010,2009,2010,12,0,192,40,16,0,0,Australia
MEK Hussey, RT Ponting,2005-2009,2005,2009,5,1,176,77*,44,0,2,Australia
AJ Finch, M Klinger,2017-2017,2017,2017,3,0,173,79,57.66,0,2,Australia
SE Marsh, DA Warner,2009-2013,2009,2013,5,0,170,67,34,0,1,Australia
BJ Haddin, DA Warner,2009-2011,2009,2011,5,0,159,66,31.8,0,1,Australia
TM Head, MC Henriques,2017-2017,2017,2017,4,1,158,109*,52.66,1,0,Australia
RT Ponting, A Symonds,2005-2007,2005,2007,5,0,156,50,31.2,0,1,Australia
SE Marsh, SR Watson,2008-2016,2008,2016,3,0,150,82,50,0,2,Australia
GJ Bailey, DA Warner,2012-2013,2012,2013,4,0,147,63,36.75,0,1,Australia
GJ Bailey, CL White,2012-2014,2012,2014,6,3,145,78*,48.33,0,1,Australia
AJ Finch, TM Head,2016-2018,2016,2018,5,1,144,82*,36,0,1,Australia
AJ Finch, SPD Smith,2011-2016,2011,2016,6,1,136,51,27.2,0,1,Australia
CA Lynn, DJM Short,2018-2018,2018,2018,7,0,133,49,19,0,0,Australia
