Player_1,Player_2,Innings_Span,First_Innings,Last_Innings,Number_of_Partnerships,Unbroken,Total_Runs,Highest_Runs,Avg_Runs_Per_Dismissal,Century_Partnerships,50Runs_Partnerships,Country,Player_Pairs
Amir Hamza, Shapoor Zadran,2013-2017,2013,2017,3,0,34,16,11.33,0,0,Afghanistan,Amir Hamza & Shapoor Zadran
Nawroz Mangal, Raees Ahmadzai,2010-2010,2010,2010,2,0,34,24,17,0,0,Afghanistan,Nawroz Mangal & Raees Ahmadzai
Noor Ali Zadran, Raees Ahmadzai,2010-2010,2010,2010,1,0,31,31,31,0,0,Afghanistan,Noor Ali Zadran & Raees Ahmadzai
Dawlat Zadran, Karim Janat,2017-2017,2017,2017,1,0,30,30,30,0,0,Afghanistan,Dawlat Zadran & Karim Janat
Mohammad Nabi, Sharafuddin Ashraf,2018-2018,2018,2018,2,0,29,29,14.5,0,0,Afghanistan,Mohammad Nabi & Sharafuddin Ashraf
Mohammad Nabi, Rashid Khan,2017-2017,2017,2017,1,0,27,27,27,0,0,Afghanistan,Mohammad Nabi & Rashid Khan
Karim Sadiq, Shafiqullah,2010-2014,2010,2014,2,0,24,15,12,0,0,Afghanistan,Karim Sadiq & Shafiqullah
Nawroz Mangal, Noor Ali Zadran,2010-2013,2010,2013,3,0,24,9,8,0,0,Afghanistan,Nawroz Mangal & Noor Ali Zadran
Asghar Afghan, Mirwais Ashraf,2013-2014,2013,2014,2,0,23,17,11.5,0,0,Afghanistan,Asghar Afghan & Mirwais Ashraf
Dawlat Zadran, Gulbadin Naib,2012-2016,2012,2016,3,1,23,12*,11.5,0,0,Afghanistan,Dawlat Zadran & Gulbadin Naib
Dawlat Zadran, Rashid Khan,2016-2016,2016,2016,2,0,23,12,11.5,0,0,Afghanistan,Dawlat Zadran & Rashid Khan
Najibullah Zadran, Nawroz Mangal,2014-2015,2014,2015,2,1,23,23*,23,0,0,Afghanistan,Najibullah Zadran & Nawroz Mangal
Hashmatullah Shahidi, Samiullah Shinwari,2013-2013,2013,2013,1,1,22,22*,-,0,0,Afghanistan,Hashmatullah Shahidi & Samiullah Shinwari
Noor Ali Zadran, Rashid Khan,2016-2016,2016,2016,1,0,22,22,22,0,0,Afghanistan,Noor Ali Zadran & Rashid Khan
Shafiqullah, Usman Ghani,2015-2015,2015,2015,1,0,22,22,22,0,0,Afghanistan,Shafiqullah & Usman Ghani
Gulbadin Naib, Usman Ghani,2015-2017,2015,2017,2,0,21,21,10.5,0,0,Afghanistan,Gulbadin Naib & Usman Ghani
Noor Ali Zadran, Samiullah Shinwari,2012-2016,2012,2016,3,1,21,13*,10.5,0,0,Afghanistan,Noor Ali Zadran & Samiullah Shinwari
Hamid Hassan, Shapoor Zadran,2010-2013,2010,2013,3,1,20,15,10,0,0,Afghanistan,Hamid Hassan & Shapoor Zadran
Mohammad Shahzad, Raees Ahmadzai,2010-2010,2010,2010,1,0,19,19,19,0,0,Afghanistan,Mohammad Shahzad & Raees Ahmadzai
Shafiqullah, Shapoor Zadran,2016-2016,2016,2016,1,1,19,19*,-,0,0,Afghanistan,Shafiqullah & Shapoor Zadran
Amir Hamza, Shafiqullah,2013-2016,2013,2016,2,0,18,14,9,0,0,Afghanistan,Amir Hamza & Shafiqullah
Javed Ahmadi, Karim Sadiq,2012-2012,2012,2012,1,0,18,18,18,0,0,Afghanistan,Javed Ahmadi & Karim Sadiq
Mirwais Ashraf, Mohammad Nabi,2010-2013,2010,2013,2,0,18,17,9,0,0,Afghanistan,Mirwais Ashraf & Mohammad Nabi
Hamid Hassan, Raees Ahmadzai,2010-2010,2010,2010,2,0,17,10,8.5,0,0,Afghanistan,Hamid Hassan & Raees Ahmadzai
Asghar Afghan, Dawlat Zadran,2016-2016,2016,2016,2,1,16,12*,16,0,0,Afghanistan,Asghar Afghan & Dawlat Zadran
Aftab Alam, Gulbadin Naib,2012-2018,2012,2018,2,1,15,15*,15,0,0,Afghanistan,Aftab Alam & Gulbadin Naib
Hazratullah Zazai, Usman Ghani,2016-2016,2016,2016,1,0,15,15,15,0,0,Afghanistan,Hazratullah Zazai & Usman Ghani
Mirwais Ashraf, Raees Ahmadzai,2010-2010,2010,2010,1,1,15,15*,-,0,0,Afghanistan,Mirwais Ashraf & Raees Ahmadzai
Javed Ahmadi, Noor Ali Zadran,2017-2017,2017,2017,1,0,14,14,14,0,0,Afghanistan,Javed Ahmadi & Noor Ali Zadran
Mirwais Ashraf, Rashid Khan,2016-2016,2016,2016,1,1,14,14*,-,0,0,Afghanistan,Mirwais Ashraf & Rashid Khan
Karim Janat, Shafiqullah,2017-2017,2017,2017,2,0,13,12,6.5,0,0,Afghanistan,Karim Janat & Shafiqullah
Mirwais Ashraf, Shafiqullah,2013-2015,2013,2015,3,0,13,7,4.33,0,0,Afghanistan,Mirwais Ashraf & Shafiqullah
Dawlat Zadran, Mirwais Ashraf,2012-2014,2012,2014,3,1,12,11,6,0,0,Afghanistan,Dawlat Zadran & Mirwais Ashraf
Noor Ali Zadran, Shafiqullah,2010-2010,2010,2010,3,0,12,8,4,0,0,Afghanistan,Noor Ali Zadran & Shafiqullah
Aftab Alam, Najibullah Zadran,2018-2018,2018,2018,1,0,11,11,11,0,0,Afghanistan,Aftab Alam & Najibullah Zadran
Gulbadin Naib, Izatullah Dawlatzai,2012-2012,2012,2012,1,0,10,10,10,0,0,Afghanistan,Gulbadin Naib & Izatullah Dawlatzai
Javed Ahmadi, Mohammad Shahzad,2012-2012,2012,2012,1,0,9,9,9,0,0,Afghanistan,Javed Ahmadi & Mohammad Shahzad
Amir Hamza, Karim Janat,2017-2017,2017,2017,1,0,8,8,8,0,0,Afghanistan,Amir Hamza & Karim Janat
Dawlat Zadran, Shafiqullah,2014-2016,2014,2016,3,2,8,6*,8,0,0,Afghanistan,Dawlat Zadran & Shafiqullah
Gulbadin Naib, Yamin Ahmadzai,2015-2015,2015,2015,1,1,8,8*,-,0,0,Afghanistan,Gulbadin Naib & Yamin Ahmadzai
Hamid Hassan, Mohammad Nabi,2010-2010,2010,2010,1,1,8,8*,-,0,0,Afghanistan,Hamid Hassan & Mohammad Nabi
Mohammad Shahzad, Najibullah Zadran,2014-2017,2014,2017,2,0,8,6,4,0,0,Afghanistan,Mohammad Shahzad & Najibullah Zadran
Gulbadin Naib, M Nasim Baras,2015-2015,2015,2015,1,0,7,7,7,0,0,Afghanistan,Gulbadin Naib & M Nasim Baras
Mirwais Ashraf, Najibullah Zadran,2013-2013,2013,2013,1,0,7,7,7,0,0,Afghanistan,Mirwais Ashraf & Najibullah Zadran
Amir Hamza, Najibullah Zadran,2017-2017,2017,2017,1,1,6,6*,-,0,0,Afghanistan,Amir Hamza & Najibullah Zadran
Asghar Afghan, Karim Janat,2017-2017,2017,2017,2,0,6,6,3,0,0,Afghanistan,Asghar Afghan & Karim Janat
Dawlat Ahmadzai, Raees Ahmadzai,2010-2010,2010,2010,1,1,6,6*,-,0,0,Afghanistan,Dawlat Ahmadzai & Raees Ahmadzai
Mohammad Nabi, Usman Ghani,2018-2018,2018,2018,1,0,6,6,6,0,0,Afghanistan,Mohammad Nabi & Usman Ghani
Mujeeb Ur Rahman, Rashid Khan,2018-2018,2018,2018,1,1,6,6*,-,0,0,Afghanistan,Mujeeb Ur Rahman & Rashid Khan
Afsar Zazai, Asghar Afghan,2013-2013,2013,2013,1,0,5,5,5,0,0,Afghanistan,Afsar Zazai & Asghar Afghan
Afsar Zazai, Karim Sadiq,2013-2013,2013,2013,1,0,4,4,4,0,0,Afghanistan,Afsar Zazai & Karim Sadiq
Asghar Afghan, Raees Ahmadzai,2010-2010,2010,2010,1,0,4,4,4,0,0,Afghanistan,Asghar Afghan & Raees Ahmadzai
Gulbadin Naib, Hamid Hassan,2013-2013,2013,2013,1,0,4,4,4,0,0,Afghanistan,Gulbadin Naib & Hamid Hassan
Najibullah Zadran, Shapoor Zadran,2013-2013,2013,2013,1,0,4,4,4,0,0,Afghanistan,Najibullah Zadran & Shapoor Zadran
Hazratullah Zazai, Samiullah Shinwari,2018-2018,2018,2018,1,0,3,3,3,0,0,Afghanistan,Hazratullah Zazai & Samiullah Shinwari
Karim Janat, Rashid Khan,2017-2018,2017,2018,2,0,3,3,1.5,0,0,Afghanistan,Karim Janat & Rashid Khan
Karim Sadiq, Samiullah Shinwari,2013-2013,2013,2013,1,0,3,3,3,0,0,Afghanistan,Karim Sadiq & Samiullah Shinwari
Najeeb Tarakai, Shafiqullah,2017-2017,2017,2017,1,0,3,3,3,0,0,Afghanistan,Najeeb Tarakai & Shafiqullah
Rashid Khan, Samiullah Shinwari,2016-2018,2016,2018,3,1,3,3*,1.5,0,0,Afghanistan,Rashid Khan & Samiullah Shinwari
Amir Hamza, Dawlat Zadran,2016-2016,2016,2016,1,0,2,2,2,0,0,Afghanistan,Amir Hamza & Dawlat Zadran
Dawlat Zadran, Shapoor Zadran,2012-2014,2012,2014,2,0,2,2,1,0,0,Afghanistan,Dawlat Zadran & Shapoor Zadran
Gulbadin Naib, Sayed Shirzad,2015-2015,2015,2015,1,0,2,2,2,0,0,Afghanistan,Gulbadin Naib & Sayed Shirzad
Gulbadin Naib, Sharafuddin Ashraf,2018-2018,2018,2018,1,0,2,2,2,0,0,Afghanistan,Gulbadin Naib & Sharafuddin Ashraf
Raees Ahmadzai, Shapoor Zadran,2010-2010,2010,2010,2,1,2,1*,2,0,0,Afghanistan,Raees Ahmadzai & Shapoor Zadran
Aftab Alam, Shapoor Zadran,2014-2014,2014,2014,1,0,1,1,1,0,0,Afghanistan,Aftab Alam & Shapoor Zadran
Aftab Alam, Usman Ghani,2018-2018,2018,2018,1,1,1,1*,-,0,0,Afghanistan,Aftab Alam & Usman Ghani
Asghar Afghan, Rashid Khan,2018-2018,2018,2018,1,0,1,1,1,0,0,Afghanistan,Asghar Afghan & Rashid Khan
Gulbadin Naib, Mujeeb Ur Rahman,2018-2018,2018,2018,1,1,1,1*,-,0,0,Afghanistan,Gulbadin Naib & Mujeeb Ur Rahman
Amir Hamza, Hamid Hassan,2013-2013,2013,2013,1,0,0,0,0,0,0,Afghanistan,Amir Hamza & Hamid Hassan
Dawlat Zadran, Karim Sadiq,2016-2016,2016,2016,1,0,0,0,0,0,0,Afghanistan,Dawlat Zadran & Karim Sadiq
Gulbadin Naib, Rashid Khan,2018-2018,2018,2018,1,0,0,0,0,0,0,Afghanistan,Gulbadin Naib & Rashid Khan
Karim Sadiq, Mirwais Ashraf,2013-2013,2013,2013,1,0,0,0,0,0,0,Afghanistan,Karim Sadiq & Mirwais Ashraf
Mohammad Shahzad, Shabir Noori,2012-2012,2012,2012,1,0,0,0,0,0,0,Afghanistan,Mohammad Shahzad & Shabir Noori
Najeeb Tarakai, Nawroz Mangal,2014-2014,2014,2014,1,0,0,0,0,0,0,Afghanistan,Najeeb Tarakai & Nawroz Mangal
Rashid Khan, Shafiqullah,2017-2017,2017,2017,1,0,0,0,0,0,0,Afghanistan,Rashid Khan & Shafiqullah
Rashid Khan, Shapoor Zadran,2016-2016,2016,2016,1,0,0,0,0,0,0,Afghanistan,Rashid Khan & Shapoor Zadran
Rashid Khan, Usman Ghani,2018-2018,2018,2018,1,0,0,0,0,0,0,Afghanistan,Rashid Khan & Usman Ghani
DA Warner, SR Watson,2009-2016,2009,2016,37,0,1154,133,31.18,3,6,Australia,DA Warner & SR Watson
AJ Finch, DJM Short,2018-2018,2018,2018,13,1,549,223,45.75,1,2,Australia,AJ Finch & DJM Short
AC Gilchrist, ML Hayden,2005-2007,2005,2007,9,1,398,104,49.75,2,1,Australia,AC Gilchrist & ML Hayden
GJ Maxwell, DA Warner,2012-2016,2012,2016,10,1,382,161,42.44,1,2,Australia,GJ Maxwell & DA Warner
AJ Finch, DA Warner,2012-2017,2012,2017,17,0,380,98,22.35,0,1,Australia,AJ Finch & DA Warner
MEK Hussey, SR Watson,2010-2012,2010,2012,7,1,369,108,61.5,1,2,Australia,MEK Hussey & SR Watson
MEK Hussey, CL White,2009-2012,2009,2012,13,3,346,101*,34.6,1,1,Australia,MEK Hussey & CL White
DJ Hussey, CL White,2009-2011,2009,2011,16,1,329,50,21.93,0,1,Australia,DJ Hussey & CL White
AJ Finch, CL White,2014-2014,2014,2014,7,1,318,106,53,1,0,Australia,AJ Finch & CL White
AJ Finch, GJ Maxwell,2013-2018,2013,2018,9,1,298,118,37.25,1,0,Australia,AJ Finch & GJ Maxwell
GJ Maxwell, DJM Short,2018-2018,2018,2018,8,0,280,78,35,0,3,Australia,GJ Maxwell & DJM Short
DJ Hussey, DA Warner,2009-2012,2009,2012,10,0,258,54,25.8,0,2,Australia,DJ Hussey & DA Warner
TM Head, GJ Maxwell,2016-2018,2016,2018,3,0,241,109,80.33,2,0,Australia,TM Head & GJ Maxwell
AJ Finch, SR Watson,2013-2016,2013,2016,7,0,228,101,32.57,1,0,Australia,AJ Finch & SR Watson
AJ Finch, SE Marsh,2012-2016,2012,2016,5,0,224,114,44.8,1,1,Australia,AJ Finch & SE Marsh
MJ Clarke, CL White,2009-2010,2009,2010,5,1,221,82,55.25,0,2,Australia,MJ Clarke & CL White
DJM Short, DA Warner,2018-2018,2018,2018,5,0,209,121,41.8,1,1,Australia,DJM Short & DA Warner
MJ Clarke, DJ Hussey,2009-2010,2009,2010,11,0,208,67,18.9,0,1,Australia,MJ Clarke & DJ Hussey
GJ Maxwell, SPD Smith,2015-2016,2015,2016,4,0,206,112,51.5,1,1,Australia,GJ Maxwell & SPD Smith
UT Khawaja, SR Watson,2016-2016,2016,2016,4,0,198,76,49.5,0,2,Australia,UT Khawaja & SR Watson
MJ Clarke, BJ Haddin,2007-2010,2007,2010,7,1,192,73,32,0,1,Australia,MJ Clarke & BJ Haddin
MJ Clarke, DA Warner,2009-2010,2009,2010,12,0,192,40,16,0,0,Australia,MJ Clarke & DA Warner
MEK Hussey, RT Ponting,2005-2009,2005,2009,5,1,176,77*,44,0,2,Australia,MEK Hussey & RT Ponting
AJ Finch, M Klinger,2017-2017,2017,2017,3,0,173,79,57.66,0,2,Australia,AJ Finch & M Klinger
SE Marsh, DA Warner,2009-2013,2009,2013,5,0,170,67,34,0,1,Australia,SE Marsh & DA Warner
BJ Haddin, DA Warner,2009-2011,2009,2011,5,0,159,66,31.8,0,1,Australia,BJ Haddin & DA Warner
TM Head, MC Henriques,2017-2017,2017,2017,4,1,158,109*,52.66,1,0,Australia,TM Head & MC Henriques
RT Ponting, A Symonds,2005-2007,2005,2007,5,0,156,50,31.2,0,1,Australia,RT Ponting & A Symonds
SE Marsh, SR Watson,2008-2016,2008,2016,3,0,150,82,50,0,2,Australia,SE Marsh & SR Watson
GJ Bailey, DA Warner,2012-2013,2012,2013,4,0,147,63,36.75,0,1,Australia,GJ Bailey & DA Warner
GJ Bailey, CL White,2012-2014,2012,2014,6,3,145,78*,48.33,0,1,Australia,GJ Bailey & CL White
AJ Finch, TM Head,2016-2018,2016,2018,5,1,144,82*,36,0,1,Australia,AJ Finch & TM Head
AJ Finch, SPD Smith,2011-2016,2011,2016,6,1,136,51,27.2,0,1,Australia,AJ Finch & SPD Smith
CA Lynn, DJM Short,2018-2018,2018,2018,7,0,133,49,19,0,0,Australia,CA Lynn & DJM Short
DJ Hussey, MS Wade,2012-2012,2012,2012,3,0,130,56,43.33,0,1,Australia,DJ Hussey & MS Wade
BJ Haddin, SR Watson,2009-2010,2009,2010,4,0,117,42,29.25,0,0,Australia,BJ Haddin & SR Watson
MR Marsh, GJ Maxwell,2016-2018,2016,2018,6,1,111,34,22.2,0,0,Australia,MR Marsh & GJ Maxwell
GJ Maxwell, MP Stoinis,2018-2018,2018,2018,5,1,111,78,27.75,0,1,Australia,GJ Maxwell & MP Stoinis
ML Hayden, RT Ponting,2007-2007,2007,2007,3,1,110,48,55,0,0,Australia,ML Hayden & RT Ponting
GJ Maxwell, CL White,2012-2014,2012,2014,6,0,109,38,18.16,0,0,Australia,GJ Maxwell & CL White
SPD Smith, DA Warner,2011-2016,2011,2016,3,0,109,79,36.33,0,1,Australia,SPD Smith & DA Warner
SPD Smith, SR Watson,2015-2016,2015,2016,3,1,108,74*,54,0,1,Australia,SPD Smith & SR Watson
MEK Hussey, SPD Smith,2010-2010,2010,2010,5,1,107,74,26.75,0,1,Australia,MEK Hussey & SPD Smith
DJ Hussey, SR Watson,2008-2010,2008,2010,3,0,106,98,35.33,0,1,Australia,DJ Hussey & SR Watson
AJ Finch, UT Khawaja,2016-2016,2016,2016,3,0,105,54,35,0,1,Australia,AJ Finch & UT Khawaja
DJ Hussey, MEK Hussey,2009-2010,2009,2010,6,0,103,47,17.16,0,0,Australia,DJ Hussey & MEK Hussey
SM Katich, RT Ponting,2005-2006,2005,2006,2,0,101,83,50.5,0,1,Australia,SM Katich & RT Ponting
GJ Bailey, MEK Hussey,2012-2012,2012,2012,4,1,100,45*,33.33,0,0,Australia,GJ Bailey & MEK Hussey
CA Lynn, GJ Maxwell,2018-2018,2018,2018,4,0,100,77,25,0,1,Australia,CA Lynn & GJ Maxwell
AC Gilchrist, RT Ponting,2007-2007,2007,2007,3,0,98,69,32.66,0,1,Australia,AC Gilchrist & RT Ponting
UT Khawaja, GJ Maxwell,2016-2016,2016,2016,1,0,97,97,97,0,1,Australia,UT Khawaja & GJ Maxwell
BR Dunk, M Klinger,2017-2017,2017,2017,2,0,94,49,47,0,0,Australia,BR Dunk & M Klinger
BJ Haddin, SPD Smith,2010-2010,2010,2010,2,0,94,66,47,0,1,Australia,BJ Haddin & SPD Smith
TM Head, SR Watson,2016-2016,2016,2016,1,0,93,93,93,0,1,Australia,TM Head & SR Watson
AC Agar, AJ Finch,2018-2018,2018,2018,1,0,86,86,86,0,1,Australia,AC Agar & AJ Finch
GJ Bailey, SE Marsh,2013-2013,2013,2013,1,0,86,86,86,0,1,Australia,GJ Bailey & SE Marsh
NM Coulter-Nile, GJ Maxwell,2018-2018,2018,2018,2,0,86,59,43,0,1,Australia,NM Coulter-Nile & GJ Maxwell
DR Martyn, A Symonds,2006-2006,2006,2006,1,0,84,84,84,0,1,Australia,DR Martyn & A Symonds
